Date : 2023-07-11 17:00:05
Directory : e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer
Total : 826 files,  216851 codes, 24557 comments, 23135 blanks, all 264543 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |        674 |     84,319 |     22,375 |     19,764 |    126,458 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.input\Tests\Runtime\FuzzyGazeInteractorTests.cs                                             | C#         |        186 |         53 |         52 |        291 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.input\Tests\Runtime\InputSubsystemsTests.cs                                                 | C#         |         25 |          5 |          7 |         37 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.input\Tests\Runtime\InteractionModeManagerTests.cs                                          | C#         |        136 |         37 |         35 |        208 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.input\Tests\Runtime\InteractorDwellManagerTests.cs                                          | C#         |         72 |         23 |         18 |        113 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.input\Tests\Runtime\MRTKRayInteractorVisualsTests.cs                                        | C#         |         60 |         20 |         18 |         98 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.input\Tests\Runtime\Utilities\BaseRuntimeInputTests.cs                                      | C#         |         64 |         18 |         16 |         98 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.input\Tests\Runtime\Utilities\InputTestUtilities.cs                                         | C#         |        337 |        204 |         81 |        622 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.input\Tests\Runtime\Utilities\TestController.cs                                             | C#         |         21 |         62 |         11 |         94 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.input\Tests\Runtime\Utilities\TestHand.cs                                                   | C#         |         87 |         21 |         14 |        122 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.input\Utilities\FollowJoint.cs                                                              | C#         |         49 |         29 |         14 |         92 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.input\Utilities\HandDataContainer.cs                                                        | C#         |         23 |         32 |         11 |         66 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.input\Utilities\HandRay.cs                                                                  | C#         |         87 |         12 |         18 |        117 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.input\Utilities\HandshapeTypes.cs                                                           | C#         |         21 |         41 |         14 |         76 |
